cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,trn,trnipcoc,trnusgov,trnmuni,trncbo,trnfcfg,trnfc,trnfg
"19184","10647","1454","1054840","Hilltop National Bank","Casper","WY","82601","6/30/2012","8/19/2019","N","300 Country Club","MIDLAND FINANCIAL CORPORATION","6","0","0","7","1","Natrona","16220","Casper, WY","7/27/1964","7/27/1964","5/2/2016","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","www.hilltopnationalbank.com","264892","253902","0","10990","0","0","0","0"
"90211","8328","673909","0","Hingham Institution for Savings","Hingham","MA","2043","6/30/2012","8/19/2019","SB","55 Main Street","","11","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","4/2/1834","7/1/1985","12/1/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.hinghamsavings.com","104601","104594","0","7","0","0","0","0"
"33849","14285","2119773","2260406","Hinsdale Bank & Trust Company","Hinsdale","IL","60521","6/30/2012","8/19/2019","SM","25 East First Street","WINTRUST FINANCIAL CORPORATION","11","0","0","4","0","Du Page","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/28/1993","10/28/1993","7/19/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.hinsdalebank.com","211976","195454","0","16278","244","0","0","0"
"4540","0","908553","0","HNB National Bank","Hannibal","MO","63401","6/30/2012","8/19/2019","N","100 North Main Street","","12","0","0","2","1","Marion","","","1/1/1888","1/1/1934","7/31/2016","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.hnbbanks.com","124972","104955","0","20017","0","0","0","0"
"19354","0","931355","1130678","Hodge Bank & Trust Company","Hodge","LA","71247","6/30/2012","8/19/2019","NM","4619 Quitman Highway","HODGE BANCSHARES, INC.","1","0","0","8","1","Jackson","","","1/26/1965","1/26/1965","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","http://www.hodgebank.net","17134","11835","0","5299","0","0","0","0"
"26600","0","279673","0","Holbrook Co-operative Bank","Holbrook","MA","2343","6/30/2012","8/19/2019","SB","95 North Franklin Street","","1","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","3/26/1986","2/5/2013","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","","20087","19970","6","111","0","0","0","0"
"9080","0","568135","2391784","Holcomb State Bank","Holcomb","IL","61043","6/30/2012","8/19/2019","NM","108 W Main Street","HOLCOMB BANCORP, INC., EMPLOYEE STOCK OWNERSHIP PLAN","4","0","0","2","1","Ogle","","","7/5/1892","1/1/1934","9/4/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.holcombstatebank.com","35853","32000","3","3850","0","0","0","0"
"21448","0","617275","0","Holladay Bank & Trust","Salt Lake City","UT","84117","6/30/2012","8/19/2019","NM","2020 East 4800 South Street","","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","2/20/1974","2/20/1974","6/12/2014","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.holladaybank.com","9266","9138","0","128","0","0","0","0"
"321","0","725741","1119057","Holmes County Bank & Trust Company","Lexington","MS","39095","6/30/2012","8/19/2019","NM","316 Court Square","HOLMES COUNTY CAPITAL CORPORATION","4","0","0","8","1","Holmes","","","1/1/1932","1/1/1934","5/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","http://www.holmesbk.com","33358","23213","0","10145","0","0","0","0"
"28094","890","929978","3851191","Home Bank","Lafayette","LA","70508","6/30/2012","8/19/2019","SA","503 Kaliste Saloom","HOME BANCORP, INC.","23","0","0","4","0","Lafayette","29180","Lafayette, LA","1/1/1908","4/5/1935","2/14/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.home24bank.com","273723","273723","0","0","0","0","0","0"
