ZIP,Latitude,Longitude
95525,40.9824,-123.8686
95521,40.8543,-124.1026
95518,40.8667,-124.0817
95503,40.7199,-124.1132
95501,40.8039,-124.1476
95492,38.5358,-122.8094
95488,39.6947,-123.7445
95485,39.3309,-122.8978
95482,39.1434,-123.2592
95476,38.2406,-122.4349
95472,38.4032,-122.88
95468,38.9207,-123.5933
95467,38.8282,-122.5888
95459,39.0128,-123.6337
95454,39.8073,-123.5325
95453,39.0271,-122.9333
95448,38.6321,-122.9177
95442,38.3812,-122.5097
95437,39.4819,-123.6532
95422,38.9733,-122.6392
95407,38.3932,-122.7383
95405,38.4367,-122.6687
95404,38.4579,-122.698
95403,38.5018,-122.7399
95402,38.4901,-122.6462
95401,38.4466,-122.7774
95382,37.5318,-120.8604
95380,37.4858,-120.8494
95377,37.6263,-121.4698
95376,37.7251,-121.4348
95370,37.9865,-120.4026
95367,37.7379,-120.9552
95366,37.7516,-121.1227
95363,37.5034,-121.2652
95361,37.7871,-120.7575
95360,37.2843,-121.2245
95357,37.6759,-120.8653
95356,37.7202,-121.0279
95355,37.681,-120.9497
95354,37.6366,-120.9692
95350,37.6695,-121.0095
95348,37.4093,-120.5317
95341,37.2657,-120.5297
95340,37.31,-120.4257
95338,37.499,-119.967
95336,37.8311,-121.1859
95334,37.3385,-120.7602
95324,37.3912,-120.8981
95322,37.14,-121.0751
95307,37.5542,-120.9544
95305,37.8236,-120.2572
95304,37.6979,-121.3449
95301,37.2924,-120.6495
95267,38.0026,-121.3242
95240,38.1152,-121.183
95237,38.1708,-121.1337
95222,38.0461,-120.5587
95219,38.0039,-121.4059
95215,37.9534,-121.1619
95211,37.98,-121.3123
95210,38.0246,-121.3012
95209,38.0503,-121.3455
95207,38.0007,-121.3221
95206,37.9165,-121.3731
95205,37.9576,-121.2596
95204,37.9767,-121.3172
95203,37.9549,-121.3363
95202,37.9599,-121.2877
95173,37.3291,-121.8338
95164,37.4298,-121.9434
95148,37.3324,-121.7759
95139,37.219,-121.7566
95138,37.2476,-121.7322
95136,37.273,-121.8543
95135,37.2547,-121.6733
95134,37.4233,-121.9531
95133,37.3718,-121.8584
95132,37.4297,-121.7534
95131,37.3882,-121.8955
95130,37.2863,-121.9882
95129,37.3075,-122.0055
95128,37.3172,-121.9322
95127,37.3747,-121.8182
95126,37.3251,-121.9116
95125,37.2961,-121.898
95124,37.2561,-121.9254
95123,37.2347,-121.8265
95122,37.3305,-121.8382
95121,37.3002,-121.8028
95120,37.193,-121.8221
95119,37.231,-121.7884
95118,37.2523,-121.8908
95117,37.311,-121.9631
95116,37.3531,-121.8516
95113,37.3338,-121.893
95112,37.3419,-121.8835
95111,37.2838,-121.8254
95110,37.346,-121.91
95103,37.3339,-121.8895
95077,36.9103,-121.7558
95076,36.9511,-121.7614
95073,37.0301,-121.9511
95070,37.2539,-122.055
95066,37.0615,-122.0182
95064,36.9944,-122.0591
95062,36.9707,-121.9915
95060,37.044,-122.1375
95056,37.3933,-121.9643
95055,37.3487,-121.9835
95054,37.3961,-121.9645
95053,37.3525,-121.951
95052,37.3525,-121.9512
95051,37.3504,-121.9851
95050,37.3484,-121.9503
95046,37.1019,-121.5876
95045,36.8395,-121.5312
95038,37.1306,-121.6533
95037,37.1757,-121.5452
95036,37.4283,-121.9056
95035,37.4391,-121.8687
95033,37.1882,-121.9735
95032,37.2317,-121.9445
95030,37.2282,-122.0048
95023,36.891,-121.3658
95020,37.0706,-121.4976
95014,37.3017,-122.0911
95012,36.7621,-121.7708
95010,36.9759,-121.957
95009,37.2795,-121.9542
95008,37.2782,-121.9424
95005,37.091,-122.0849
95003,37.0075,-121.8732
95002,37.4261,-121.9742
95001,36.9772,-121.8983
94998,38.1309,-122.5765
94966,37.8592,-122.4842
94965,37.8498,-122.5203
94960,37.993,-122.5692
94954,38.2306,-122.5586
94952,38.2177,-122.7413
94949,38.065,-122.5393
94947,38.1027,-122.6184
94945,38.135,-122.5691
94941,37.9004,-122.5698
94939,37.938,-122.5325
94931,38.3164,-122.7034
94930,38.0025,-122.6731
94928,38.3459,-122.6958
94925,37.9268,-122.5162
94920,37.892,-122.4666
94904,37.9486,-122.5817
94903,38.025,-122.5456
94901,37.9686,-122.519
94820,37.9772,-122.2942
94806,37.9794,-122.3381
94805,37.9426,-122.3208
94804,37.9242,-122.3493
94803,37.9583,-122.2628
94801,37.9604,-122.3758
94720,37.8709,-122.2459
94710,37.8729,-122.3012
94709,37.8767,-122.2597
94708,37.9001,-122.2614
94707,37.9059,-122.2843
94706,37.8893,-122.2965
94705,37.8666,-122.2323
94704,37.8678,-122.2593
94703,37.8687,-122.2777
94702,37.8723,-122.288
94621,37.7366,-122.2101
94619,37.7866,-122.1644
94618,37.843,-122.2417
94617,37.8067,-122.3002
94613,37.7799,-122.1811
94612,37.8091,-122.2728
94611,37.8322,-122.2086
94610,37.8102,-122.243
94609,37.8356,-122.2643
94608,37.8351,-122.2835
94607,37.8106,-122.3007
94606,37.7893,-122.2461
94605,37.7532,-122.1277
94603,37.7387,-122.1737
94602,37.8045,-122.2036
94601,37.7776,-122.2178
94599,38.4165,-122.3616
94598,37.9114,-122.0169
94597,37.917,-122.0742
94596,37.8909,-122.0327
94595,37.8676,-122.0698
94592,38.1123,-122.2971
94590,38.0988,-122.2455
94589,38.1352,-122.2458
94588,37.6675,-121.9378
94587,37.5994,-122.0477
94586,37.5621,-121.8817
94585,38.1627,-121.974
94583,37.781,-121.9964
94582,37.7722,-121.9393
94580,37.676,-122.1351
94579,37.6871,-122.1555
94578,37.7089,-122.1277
94577,37.7153,-122.1705
94574,38.5514,-122.3236
94573,38.4586,-122.4214
94572,38.0321,-122.2415
94568,37.7187,-121.9067
94566,37.6515,-121.8546
94565,38.0049,-121.8943
94564,37.9918,-122.2784
94563,37.8736,-122.1816
94561,38.0131,-121.6524
94560,37.5179,-122.0486
94559,38.2395,-122.3254
94558,38.5309,-122.17
94556,37.8406,-122.1087
94555,37.5503,-122.0895
94553,37.9902,-122.1451
94552,37.6955,-122.0178
94551,37.7729,-121.8061
94550,37.5042,-121.6591
94549,37.8996,-122.1247
94547,38.0097,-122.2696
94546,37.7102,-122.082
94545,37.6326,-122.1189
94544,37.6404,-122.0599
94542,37.6566,-122.0444
94541,37.6728,-122.0815
94540,37.674,-122.0901
94539,37.5172,-121.8957
94538,37.5087,-121.9701
94537,37.5483,-121.9875
94536,37.5673,-121.9968
94534,38.2351,-122.1224
94533,38.2826,-122
94531,37.9666,-121.848
94530,37.9167,-122.2993
94527,38.0141,-122.0221
94526,37.8157,-121.9895
94525,38.0471,-122.2309
94523,37.951,-122.0767
94522,38.0143,-122.0185
94521,37.9638,-121.961
94520,38.003,-122.04
94519,37.9905,-122.0171
94518,37.954,-122.0214
94515,38.6255,-122.6416
94513,37.9037,-121.724
94510,38.1116,-122.1272
94509,37.9914,-121.8229
94508,38.5721,-122.4467
94507,37.8506,-121.9916
94506,37.7869,-121.8831
94505,37.8607,-121.5967
94503,38.1916,-122.2619
94502,37.736,-122.2414
94501,37.7734,-122.2711
94404,37.5547,-122.2688
94403,37.5392,-122.3052
94402,37.5398,-122.3739
94401,37.5746,-122.3192
94306,37.4112,-122.1271
94305,37.4199,-122.1725
94304,37.3751,-122.1836
94303,37.4561,-122.1179
94302,37.4442,-122.1497
94301,37.4423,-122.1527
94244,38.5818,-121.4946
94239,38.5553,-121.4956
94158,37.77,-122.3914
94143,37.7624,-122.4573
94134,37.7223,-122.4123
94133,37.8018,-122.4103
94132,37.7224,-122.4895
94131,37.7459,-122.438
94130,37.8208,-122.3695
94129,37.8001,-122.4649
94127,37.7346,-122.4574
94124,37.7309,-122.3834
94123,37.8011,-122.4367
94122,37.761,-122.4859
94121,37.7782,-122.4943
94118,37.7795,-122.4608
94117,37.7664,-122.4489
94116,37.745,-122.4849
94115,37.7864,-122.4375
94114,37.7603,-122.4375
94112,37.7201,-122.4434
94111,37.801,-122.4005
94110,37.749,-122.4144
94109,37.7942,-122.4221
94108,37.7912,-122.4083
94107,37.7681,-122.3975
94105,37.7888,-122.3971
94104,37.7896,-122.4021
94103,37.7767,-122.4103
94102,37.7795,-122.4211
94089,37.4254,-122.0074
94088,37.3689,-122.0353
94087,37.3564,-122.0409
94086,37.3695,-122.0178
94085,37.3906,-122.022
94080,37.654,-122.4156
94070,37.498,-122.267
94066,37.6278,-122.4367
94065,37.5271,-122.2342
94063,37.4955,-122.2101
94062,37.4105,-122.294
94061,37.4613,-122.2377
94044,37.601,-122.4632
94043,37.4188,-122.0695
94041,37.3891,-122.0765
94040,37.384,-122.0869
94039,37.3881,-122.0742
94038,37.5276,-122.5076
94037,37.5422,-122.515
94035,37.4184,-122.0476
94030,37.5986,-122.4024
94028,37.3699,-122.2256
94027,37.4485,-122.2075
94026,37.4539,-122.1811
94025,37.4588,-122.1636
94024,37.3497,-122.0966
94022,37.3633,-122.1454
94020,37.2889,-122.2011
94019,37.4466,-122.4218
94017,37.6996,-122.4451
94015,37.6803,-122.4838
94014,37.6856,-122.4514
94011,37.5842,-122.365
94010,37.567,-122.3787
94005,37.6856,-122.4104
94002,37.5084,-122.3108
93962,36.6219,-121.6458
93960,36.3967,-121.3748
93955,36.6246,-121.8287
93953,36.5813,-121.9466
93950,36.6168,-121.9208
93944,36.6051,-121.908
93943,36.5977,-121.8745
93940,36.5828,-121.8838
93933,36.6814,-121.784
93930,36.2254,-120.9102
93927,36.2635,-121.3643
93926,36.543,-121.3983
93924,36.3918,-121.5875
93923,36.4706,-121.8492
93921,36.5553,-121.9222
93907,36.7676,-121.657
93906,36.7267,-121.6359
93905,36.6752,-121.6186
93901,36.6475,-121.6245
93727,36.7541,-119.7002
93726,36.7993,-119.761
93725,36.611,-119.7518
93722,36.804,-119.8714
93721,36.7288,-119.781
93720,36.8659,-119.7624
93711,36.8427,-119.8338
93710,36.8192,-119.763
93706,36.645,-119.9124
93703,36.7722,-119.7612
93702,36.7412,-119.7544
93662,36.5364,-119.6651
93654,36.6598,-119.4408
93650,36.841,-119.7954
93647,36.5809,-119.2044
93646,36.637,-119.2864
93644,37.4108,-119.5985
93638,37.0211,-120.0473
93637,36.9147,-120.1975
93636,37.0134,-119.8868
93635,36.9952,-120.9163
93631,36.4836,-119.5443
93626,37.0292,-119.7101
93625,36.6278,-119.6682
93618,36.5204,-119.3998
93612,36.8114,-119.7108
93611,36.8228,-119.6729
93609,36.529,-119.8634
93601,37.395,-119.7414
93555,35.3659,-117.3125
93551,34.5881,-118.219
93550,34.5133,-118.0961
93546,37.6111,-118.8771
93534,34.7302,-118.1541
93523,34.9919,-117.8064
93514,37.509,-118.3036
93501,35.08,-118.2173
93465,35.5433,-120.7341
93464,34.5958,-120.1367
93463,34.6154,-120.1383
93458,34.9539,-120.4879
93455,34.8344,-120.445
93454,34.8956,-120.2778
93451,35.895,-120.4811
93446,35.6214,-120.7041
93445,35.0728,-120.6125
93442,35.3859,-120.7835
93436,34.6059,-120.4062
93434,34.9035,-120.5826
93433,35.1161,-120.6173
93427,34.6126,-120.2149
93423,35.4894,-120.6697
93420,35.1665,-120.4313
93406,35.2709,-120.6745
93403,35.2709,-120.6747
93401,35.2546,-120.6176
93388,35.4714,-118.9667
93313,35.1402,-119.0406
93312,35.3933,-119.1189
93311,35.1957,-119.168
93309,35.3531,-119.0659
93308,35.5337,-118.9753
93307,35.2017,-118.9796
93306,35.4395,-118.8343
93304,35.3333,-119.0252
93303,35.5524,-118.9187
93301,35.3835,-119.0208
93291,36.4074,-119.3704
93280,35.6494,-119.4309
